# 1-d slice in y-direction, file: plt_2d_000400
# time =       0.594868597708E-02
#                       y                  density      CH4_ConsumptionRate                   Y(CH4)               x_velocity                     temp  
       0.802734375000E-02        1.14395516165          -0.107188664060E-12       0.392668081359E-01      -0.264756930720E-14        298.000000000      
       0.806640625000E-02        1.14395516148           0.755714041488E-13       0.392668081356E-01      -0.238115717587E-14        298.000000000      
       0.810546875000E-02        1.14395516144          -0.130497052673E-13       0.392668081353E-01      -0.214617222086E-14        298.000000000      
       0.814453125000E-02        1.14395516124          -0.534559928507E-12       0.392668081349E-01      -0.190020125428E-14        298.000000000      
       0.818359375000E-02        1.14395516115          -0.138788030767E-12       0.392668081345E-01      -0.164636345876E-14        298.000000000      
       0.822265625000E-02        1.14395516091           0.940921883696E-13       0.392668081340E-01      -0.139348245110E-14        298.000000000      
       0.826171875000E-02        1.14395516078           0.277578597078E-12       0.392668081335E-01      -0.113960386911E-14        298.000000000      
       0.830078125000E-02        1.14395516049          -0.127495393887E-12       0.392668081328E-01      -0.902775451942E-15        298.000000000      
       0.833984375000E-02        1.14395516029           0.363281780598E-12       0.392668081321E-01      -0.653540861158E-15        298.000000000      
       0.837890625000E-02        1.14395515993           0.239019451139E-12       0.392668081313E-01      -0.411266544880E-15        298.000000000      
       0.841796875000E-02        1.14395515966          -0.219833608693E-12       0.392668081304E-01      -0.181223113508E-15        298.000000000      
       0.845703125000E-02        1.14395515921           0.163647683501E-12       0.392668081293E-01       0.668091042028E-16        298.000000000      
       0.849609375000E-02        1.14395515884          -0.263087984754E-14       0.392668081281E-01       0.280377514340E-15        298.000000000      
       0.853515625000E-02        1.14395515829           0.148821536509E-13       0.392668081268E-01       0.471157273353E-15        298.000000000      
       0.857421875000E-02        1.14395515779           0.905393885250E-14       0.392668081252E-01       0.641556926611E-15        298.000000000      
       0.861328125000E-02        1.14395515710          -0.728748372701E-13       0.392668081235E-01       0.809371449428E-15        298.000000000      
       0.865234375000E-02        1.14395515645           0.331459161277E-12       0.392668081215E-01       0.982970715885E-15        298.000000000      
       0.869140625000E-02        1.14395515559          -0.103749788281E-12       0.392668081193E-01       0.111226439842E-14        298.000000000      
       0.873046875000E-02        1.14395515475          -0.371983572093E-12       0.392668081168E-01       0.123532761138E-14        298.000000000      
       0.876953125000E-02        1.14395515367          -0.782646391837E-13       0.392668081140E-01       0.132670028831E-14        298.000000000      
       0.880859375000E-02        1.14395515260          -0.168342324383E-12       0.392668081109E-01       0.141554520857E-14        298.000000000      
       0.884765625000E-02        1.14395515126           0.268199630332E-12       0.392668081073E-01       0.147080601925E-14        298.000000000      
       0.888671875000E-02        1.14395514990           0.803570554221E-13       0.392668081034E-01       0.152549230716E-14        298.000000000      
       0.892578125000E-02        1.14395514825          -0.120079545577E-12       0.392668080990E-01       0.157196380743E-14        298.000000000      
       0.896484375000E-02        1.14395514653          -0.449947482704E-12       0.392668080941E-01       0.159007371830E-14        298.000000000      
       0.900390625000E-02        1.14395514448          -0.332251645826E-12       0.392668080886E-01       0.158834777727E-14        298.000000000      
       0.904296875000E-02        1.14395514234          -0.114149086537E-12       0.392668080825E-01       0.158254847858E-14        298.000000000      
       0.908203125000E-02        1.14395513983           0.190270818762E-12       0.392668080757E-01       0.160086588898E-14        298.000000000      
       0.912109375000E-02        1.14395513716          -0.188304149368E-12       0.392668080681E-01       0.161882355344E-14        298.000000000      
       0.916015625000E-02        1.14395513408           0.293511041424E-13       0.392668080598E-01       0.163070138007E-14        298.000000000      
       0.919921875000E-02        1.14395513080           0.551285645146E-13       0.392668080505E-01       0.165344439769E-14        298.000000000      
       0.923828125000E-02        1.14395512704           0.177616471195E-12       0.392668080403E-01       0.163876457876E-14        298.000000000      
       0.927734375000E-02        1.14395512302           0.596948892092E-13       0.392668080290E-01       0.141410204750E-14        298.000000000      
       0.931640625000E-02        1.14395511846           0.770756422009E-14       0.392668080165E-01       0.143084962231E-14        298.000000000      
       0.935546875000E-02        1.14395511355           0.103978579457E-12       0.392668080027E-01       0.157524210423E-14        298.000000001      
